"","X","country","survey","year","obs","admin_level","admin1_num","urban","fever","access","formal","hcnobeds","hcbeds","opd","chw","test","fline","othrantimal","compl_f","compl_i","eff_cov","scaling","imputed","county"
"1",2,"Kenya","KEKR42FL2003.DTA",2003,697,"region",2,"0,137198702900632","0,488530536217526","0,724356841369832","0,619731778758505","0,493129231589026","0,279476643756847","0,227394124654127","0",NA,"0,107870909677499","0,0687914000376169","0,583489513799796","0,793183887967487","0,432250690995638","0,596737224402007",FALSE,"Kiambu"
"2",2,"Kenya","KEKR42FL2003.DTA",2003,697,"region",2,"0,137198702900632","0,488530536217526","0,724356841369832","0,619731778758505","0,493129231589026","0,279476643756847","0,227394124654127","0",NA,"0,107870909677499","0,0687914000376169","0,583489513799796","0,793183887967487","0,432250690995638","0,596737224402007",FALSE,"Muranga"
"3",2,"Kenya","KEKR42FL2003.DTA",2003,697,"region",2,"0,137198702900632","0,488530536217526","0,724356841369832","0,619731778758505","0,493129231589026","0,279476643756847","0,227394124654127","0",NA,"0,107870909677499","0,0687914000376169","0,583489513799796","0,793183887967487","0,432250690995638","0,596737224402007",FALSE,"Kirinyaga"
"4",2,"Kenya","KEKR42FL2003.DTA",2003,697,"region",2,"0,137198702900632","0,488530536217526","0,724356841369832","0,619731778758505","0,493129231589026","0,279476643756847","0,227394124654127","0",NA,"0,107870909677499","0,0687914000376169","0,583489513799796","0,793183887967487","0,432250690995638","0,596737224402007",FALSE,"Nyeri"
"5",2,"Kenya","KEKR42FL2003.DTA",2003,697,"region",2,"0,137198702900632","0,488530536217526","0,724356841369832","0,619731778758505","0,493129231589026","0,279476643756847","0,227394124654127","0",NA,"0,107870909677499","0,0687914000376169","0,583489513799796","0,793183887967487","0,432250690995638","0,596737224402007",FALSE,"Nyandarua"
"6",3,"Kenya","KEKR42FL2003.DTA",2003,647,"region",3,"0,322477016452953","0,406903308583969","0,685470241289983","0,854346709051603","0,569430937685959","0,312391692045679","0,107262896361593","0,0109144739067691",NA,"0,253846778715537","0,158415600791855","0,608184063760464","0,688291188574166","0,445659571586589","0,650151596293816",FALSE,"Tana River"
"7",3,"Kenya","KEKR42FL2003.DTA",2003,647,"region",3,"0,322477016452953","0,406903308583969","0,685470241289983","0,854346709051603","0,569430937685959","0,312391692045679","0,107262896361593","0,0109144739067691",NA,"0,253846778715537","0,158415600791855","0,608184063760464","0,688291188574166","0,445659571586589","0,650151596293816",FALSE,"Mombasa"
"8",3,"Kenya","KEKR42FL2003.DTA",2003,647,"region",3,"0,322477016452953","0,406903308583969","0,685470241289983","0,854346709051603","0,569430937685959","0,312391692045679","0,107262896361593","0,0109144739067691",NA,"0,253846778715537","0,158415600791855","0,608184063760464","0,688291188574166","0,445659571586589","0,650151596293816",FALSE,"Kilifi"
"9",3,"Kenya","KEKR42FL2003.DTA",2003,647,"region",3,"0,322477016452953","0,406903308583969","0,685470241289983","0,854346709051603","0,569430937685959","0,312391692045679","0,107262896361593","0,0109144739067691",NA,"0,253846778715537","0,158415600791855","0,608184063760464","0,688291188574166","0,445659571586589","0,650151596293816",FALSE,"Kwale"
"10",3,"Kenya","KEKR42FL2003.DTA",2003,647,"region",3,"0,322477016452953","0,406903308583969","0,685470241289983","0,854346709051603","0,569430937685959","0,312391692045679","0,107262896361593","0,0109144739067691",NA,"0,253846778715537","0,158415600791855","0,608184063760464","0,688291188574166","0,445659571586589","0,650151596293816",FALSE,"Lamu"
