"","country","survey","year","obs","admin_level","admin1","admin1_num","urban","fever","access","formal","hcnobeds","hcbeds","opd","chw","test","fline","othrantimal","compl_f","compl_i","eff_cov","scaling","imputed"
"1","kenya","KEKR7AFL2015.DTA",2015,569,"region","coast",1,0.356440967896049,0.396564889544436,0.729715238538919,0.819929628340081,0.647203877495583,0.192912768626728,0.159883353877689,0,0.563577737360061,0.23961796176639,0.0111989086394041,0.950698966812688,1,0.600573615890577,0.823024632311478,FALSE
"2","kenya","KEKR7AFL2015.DTA",2015,281,"region","north eastern",2,0.410666340354601,0.2707164716738,0.431819080839668,0.951036261351087,0.440384113257847,0.223802484803565,0.335813401938588,0,0.480787175151167,0.0432745824585955,0.0317857223777537,0.582232520986686,0.465786016789349,0.309862587210528,0.717575023799326,TRUE
"3","kenya","KEKR7AFL2015.DTA",2015,449,"region","eastern",3,0.285216624880682,0.33085207002075,0.710661810855448,0.990661443049706,0.393033584427038,0.211982425242543,0.384352176359496,0.0106318139709226,0.232788595869074,0.0656096732439221,0.0165711198266444,0.799851644398066,0.639881315518453,0.573243700479244,0.806633607888977,TRUE
"4","kenya","KEKR7AFL2015.DTA",2015,258,"region","central",4,0.493643323255241,0.292433857410704,0.604637441317239,0.758205186150436,0.393958633129177,0.341782500351077,0.264258866519746,0,0.225619539334642,0.173652618029717,0.0426604182311555,0.575706622276743,1,0.429355765252208,0.710104495541709,FALSE
"5","kenya","KEKR7AFL2015.DTA",2015,1127,"region","rift valley",5,0.252999097152428,0.310891797675563,0.842500148517234,0.936461584926492,0.514856191359481,0.247439669888267,0.237704138752252,0,0.369478731584039,0.197586169148162,0.0283774186522691,0.862345771922051,1,0.690504253565074,0.819589473996335,FALSE
"6","kenya","KEKR7AFL2015.DTA",2015,340,"region","western",7,0.187411317972577,0.467002741276076,0.747782288327176,0.865142060484427,0.781949028711081,0.105038847527034,0.104109827034087,0.00890229672779778,0.780241861514928,0.640947922896444,0.0337662669066568,0.967154590134221,0.841992242101508,0.619493587331132,0.828441107794848,FALSE
"7","kenya","KEKR7AFL2015.DTA",2015,421,"region","nyanza",8,0.205871664178758,0.519852710110004,0.611459097995713,0.89126039817217,0.567240632940549,0.144297758459468,0.222644505536589,0.0658171030633948,0.689928470622336,0.427487418765839,0.0168517153650649,0.95946057417877,1,0.514457969087439,0.841361214141335,FALSE
"8","kenya","KEKR7AFL2015.DTA",2015,51,"region","nairobi",9,1,0.288160801892105,0.832044265185919,1,0.315736511753217,0.48121613611197,0.203047352134813,0,0.554396794395694,0.279246010734311,0.0237439264384834,0.921634603907844,0.737307683126275,0.709117010053478,0.852258755602417,TRUE
"9","kenya","KEKR7AFL2015.DTA",2015,3496,"country","kenya",NA,0.330139881162419,0.360986144967654,0.724020137204775,0.905968804017704,0.537156986538136,0.219008946660612,0.231382685227355,0.0124513815738972,0.487421639727713,0.279246010734311,0.0237439264384834,0.920291664090562,0.931599009686666,0.600475441031351,0.829362900525953,FALSE
