"","country","survey","year","obs","admin_level","admin1","admin1_num","urban","fever","access","formal","hcnobeds","hcbeds","opd","chw","test","fline","othrantimal","compl_f","compl_i","eff_cov","scaling","imputed"
"1","kenya","KEKR8BFL2022.DTA",2022,339,"region","mombasa",1,1,0.205527301607021,0.417267185932853,0.881634730603112,0.225102885077933,0.48422891709189,0.290668197830177,0,0.603178346580026,0.223000906698405,0.0445791190334188,0.853606398637803,0.682885118910243,0.329616791643144,0.789941799296402,TRUE
"2","kenya","KEKR8BFL2022.DTA",2022,409,"region","kwale",2,0.12344324243813,0.0591254359241807,0.576883564337519,0.656102145574281,1,0,0,0,0.406022370993744,0.156568100520136,0.233136922928335,0.674037835564919,0,0.329485047007072,0.57114653177101,FALSE
"3","kenya","KEKR8BFL2022.DTA",2022,373,"region","kilifi",3,0.207737467806805,0.164350773850738,0.609609174598387,0.906246601004149,0.861126687021897,0.0898906481944484,0.0489826647836549,0,0.356775120566869,0.223000906698405,0.0445791190334188,0.849324337060941,0.679459469648753,0.485525709714058,0.796454072453755,TRUE
"4","kenya","KEKR8BFL2022.DTA",2022,599,"region","tana river",4,0.292331129140634,0.176661351448798,0.540072994885018,0.963150073634648,0.872825095959186,0.0380996863100453,0.0890752177307689,0,0.403637260027311,0.028422599128966,0.100885245894112,0.221437674911228,0.177150139928983,0.321510990530834,0.595310251717518,TRUE
"5","kenya","KEKR8BFL2022.DTA",2022,410,"region","lamu",5,0.341196015172132,0.287754304008869,0.778080829893732,0.881410632837615,0.557293034257294,0.105546731351986,0.33716023439072,0,0.243730932663403,0.0140205134497205,0.0223453955854506,0.394906363350378,0.315925090680303,0.489564006029525,0.629194278049992,TRUE
"6","kenya","KEKR8BFL2022.DTA",2022,243,"region","taita taveta",6,0.271888242177595,0.107874601260695,0.576357321230678,0.86288597990706,0.594345914832771,0.177937395074059,0.22771669009317,0,0.21007984339122,0.223000906698405,0.0445791190334188,0.856897459466032,0.685517967572826,0.452435790918231,0.784991834496279,TRUE
"7","kenya","KEKR8BFL2022.DTA",2022,557,"region","garissa",7,0.513659269618053,0.0654868941866627,0.549847006648973,1,0.249719872015874,0.630037601576622,0.120242526407504,0,0.868999221505135,0.223000906698405,0.0445791190334188,0.833398928371069,0.666719142696855,0.451647778414131,0.821406269294228,TRUE
"8","kenya","KEKR8BFL2022.DTA",2022,657,"region","wajir",8,0.40216804871768,0.240203193205355,0.568858937799042,0.787572726906853,0.298894198242235,0.362078928548344,0.339026873209421,0,0.236035472362156,0.223000906698405,0.0445791190334188,0.870377303813315,0.696301843050652,0.435294038224064,0.765205588415731,TRUE
"9","kenya","KEKR8BFL2022.DTA",2022,868,"region","mandera",9,0.41277158202625,0.131221218446316,0.375422321871843,0.837586258952125,0.204974643629748,0.319722824615787,0.475302531754465,0,0.482224591416476,0.183823071207035,0.04365394023077,0.667955340483611,1,0.279344392620669,0.744080403178656,FALSE
"10","kenya","KEKR8BFL2022.DTA",2022,515,"region","marsabit",10,0.233171202032436,0.0692883415057599,0.461206853423655,1,0.636832853962355,0.0339774067299636,0.262270482864617,0.0669192564430641,0.492992875483429,0.223000906698405,0.0445791190334188,0.833398928371069,0.666719142696855,0.378838200843654,0.821406269294228,TRUE
"11","kenya","KEKR8BFL2022.DTA",2022,454,"region","isiolo",11,0.507185159276342,0.173067422865529,0.599349599968304,0.985540508392295,0.46255971572623,0.188471782298233,0.348968501975537,0,0.492736944501731,0.221239597660014,0.040212511738069,0.848649705683174,0.678919764546539,0.492684329866837,0.822031632110694,TRUE
"12","kenya","KEKR8BFL2022.DTA",2022,278,"region","meru",12,0.111736674589054,0.213055792295475,0.656893095555907,0.830006938625079,0.486553266727567,0.341556647979481,0.171890085292952,0,0.270576744241957,0.223000906698405,0.0445791190334188,0.862730570536516,0.690184456429213,0.509968733909882,0.776334440657064,TRUE
"13","kenya","KEKR8BFL2022.DTA",2022,252,"region","tharaka-nithi",13,0.110684754659442,0.313998418261995,0.743889554453379,0.956777156220785,0.601114988428671,0.241272166471444,0.157612845099885,0,0.444616633458785,0.0151599165962038,0.0440599118826498,0.258226183490755,0.206580946792604,0.450861351091649,0.606086412146153,TRUE
"14","kenya","KEKR8BFL2022.DTA",2022,252,"region","embu",14,0.147282084574962,0.113956062333857,0.79467346390715,0.774929608262705,0.314690547999206,0.346945493945468,0.338363958055325,0,0.0799554664036193,0.223000906698405,0.0445791190334188,0.872681899780184,0.698145519824147,0.605461446813752,0.761899666105492,TRUE
"15","kenya","KEKR8BFL2022.DTA",2022,312,"region","kitui",15,0.0741440949873717,0.0999849341244788,0.544271999286035,0.940105327623272,0.591007932101464,0.198881398220618,0.210110669677918,0,0.215530404533567,0.226799998019123,0.0689324779613696,0.776207478690019,0.620965982952015,0.42555946492909,0.781887485461921,TRUE
"16","kenya","KEKR8BFL2022.DTA",2022,266,"region","machakos",16,0.425647925144417,0.165250680572339,0.780434092943413,0.737376564961011,0.570928661486067,0.306703691479177,0.122367647034756,0,0.289955603935685,0.0670033367358282,0.0900440463037932,0.450295725093698,0.360236580074959,0.469357264859005,0.601405383366608,TRUE
"17","kenya","KEKR8BFL2022.DTA",2022,314,"region","makueni",17,0.155631036656247,0.0396162752455168,0.915906994894475,0.947484050212197,0.756756316534409,0,0.243243683465591,0,0.182754592546641,0.223000906698405,0.0445791190334188,0.842245189588155,0.673796151670524,0.739504544922337,0.8074013508408,TRUE
